repo_name,iso_family,layer
model_server,Supporting,Cross-cutting
openvino_testdrive,Supporting,Device
openvino_testdrive,Supporting,Fog
executorch,Supporting,Edge
executorch,Supporting,Fog
rhel-edge-automation-arch,Supporting,Edge
rhel-edge-automation-arch,Supporting,Fog
redpanda-edge-agent,Supporting,Edge
redpanda-edge-agent,Supporting,Cloud
viseron,Data,Device
viseron,Data,Fog
salt,Supporting,Edge
salt,Supporting,Cloud
fedn,Supporting,Edge
fedn,Supporting,Cloud
ModelAssistant,Supporting,Device
ModelAssistant,Supporting,Fog
piccolo,Supporting,Device
piccolo,Supporting,Edge
simpleiot,Supporting,Cross-cutting
MaixPy,Transducer,Device
MaixPy,Transducer,Edge
fogflow,Supporting,Edge
fogflow,Supporting,Cloud
edgeai-gst-apps,Supporting,Edge
edgeai-gst-apps,Supporting,Fog
thin-edge.io,Supporting,Cross-cutting
flogo,Data,Edge
flogo,Data,Cloud
saf,Data,Device
saf,Data,Fog
edge-infer,Supporting,Device
edge-infer,Supporting,Fog
WasmEdge,Supporting,Cross-cutting
self,Supporting,Device
self,Supporting,Fog
Vitis-AI,Supporting,Cross-cutting
yomo,Data,Edge
yomo,Data,Fog
kantv,Data,Edge
kantv,Data,Fog
ztachip,Data,Device
ztachip,Data,Edge
auritus,Data,Device
auritus,Data,Edge
open-horizon,Interface,Edge
open-horizon,Interface,Cloud
smart-social-distancing,Data,Cross-cutting
